"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.0","0.0","_0.527291=*_class=2","0.0","_0.527291=*_class=2","_0.527291","2"
"0.0","0.0","0.0","0.0","_0.728443=*_class=2","0.0","_0.728443=*_class=2","_0.728443","2"
"0.0","0.0","0.0","0.0","_-0.164646=*_class=2","0.0","_-0.164646=*_class=2","_-0.164646","2"
"0.0","0.0","0.0","0.0","_0.535883=*_class=2","0.0","_0.535883=*_class=2","_0.535883","2"
"0.0","0.0","0.0","0.0","_-0.584313=*_class=2","0.0","_-0.584313=*_class=2","_-0.584313","2"
"0.0","0.0","0.0","0.0","_0.165138=*_class=2","0.0","_0.165138=*_class=2","_0.165138","2"
"0.0","0.0","0.0","0.0","_-2.694967=*_class=2","0.0","_-2.694967=*_class=2","_-2.694967","2"
"0.0","0.0","0.0","0.0","_3.972203=*_class=2","0.0","_3.972203=*_class=2","_3.972203","2"
"0.0","0.0","0.0","0.0","_1.786704=*_class=2","0.0","_1.786704=*_class=2","_1.786704","2"
"0.0","0.0","0.0","0.0","_-0.791447=*_class=2","0.0","_-0.791447=*_class=2","_-0.791447","2"
"0.0","0.0","0.0","0.0","_15326.691400=*_class=2","0.0","_15326.691400=*_class=2","_15326.691400","2"
"0.0","0.0","0.0","0.0","_2.371604=*_class=2","0.0","_2.371604=*_class=2","_2.371604","2"
"0.0","0.0","0.0","0.0","_1.746493=*_class=2","0.0","_1.746493=*_class=2","_1.746493","2"
"0.0","0.0","0.0","0.0","_2.391239=*_class=2","0.0","_2.391239=*_class=2","_2.391239","2"
"0.0","0.0","0.0","0.0","_0.515090=*_class=2","0.0","_0.515090=*_class=2","_0.515090","2"
"0.0","0.0","0.0","0.0","_-3.344671=*_class=2","0.0","_-3.344671=*_class=2","_-3.344671","2"
"0.0","0.0","0.0","0.0","_-3.037772=*_class=2","0.0","_-3.037772=*_class=2","_-3.037772","2"
"0.0","0.0","0.0","0.0","_1.765738=*_class=2","0.0","_1.765738=*_class=2","_1.765738","2"
"0.0","0.0","0.0","0.0","_-1.058061=*_class=2","0.0","_-1.058061=*_class=2","_-1.058061","2"
"0.0","0.0","0.0","0.0","_-0.426662=*_class=2","0.0","_-0.426662=*_class=2","_-0.426662","2"
"0.0","0.0","0.0","0.0","_-0.809953=*_class=2","0.0","_-0.809953=*_class=2","_-0.809953","2"
"0.0","0.0","0.0","0.0","_-0.361030=*_class=2","0.0","_-0.361030=*_class=2","_-0.361030","2"
"0.0","0.0","0.0","0.0","_2.680623=*_class=2","0.0","_2.680623=*_class=2","_2.680623","2"
"0.0","0.0","0.0","0.0","_0.334017=*_class=2","0.0","_0.334017=*_class=2","_0.334017","2"
"0.0","0.0","0.0","0.0","_0.474520=*_class=2","0.0","_0.474520=*_class=2","_0.474520","2"
"0.0","0.0","0.0","0.0","_0.246473=*_class=2","0.0","_0.246473=*_class=2","_0.246473","2"
"0.0","0.0","0.0","0.0","_-0.944425=*_class=2","0.0","_-0.944425=*_class=2","_-0.944425","2"
